id,consumables,denomination,cargo_capacity,passengers,max_atmosphering_speed,crew,lengthiness,model,cost_in_credits,manufacturer,image
1,1 year,CR90 corvette,3000000,600,950,165,150,CR90 corvette,3500000,Corellian Engineering Corporation,cr90_corvette.jpg
2,2 years,Star Destroyer,36000000,null,975,47,2,Imperial I-class Star Destroyer,150000000,Kuat Drive Yards,star_destroyer.jpg
3,2 months,Sand Crawler,50000,30,30,46,13363,Digger Crawler,150000,Corellia Mining Corporation,sand_crawler.jpg
4,1 month,Sentinel-class landing craft,180000,75,1000,5,38,Sentinel-class landing craft,240000,"Sienar Fleet Systems, Cyngus Spaceworks",sentinel-class_landing_craft.jpg
5,0,T-16 skyhopper,50,1,1200,1,43377,T-16 skyhopper,14500,Incom Corporation,t-16_skyhopper.jpg
6,null,X-34 landspeeder,5,1,250,1,43163,X-34 landspeeder,10550,SoroSuub Corporation,x-34_landspeeder.jpg
7,2 days,TIE/LN starfighter,65,0,1200,1,43255,Twin Ion Engine/Ln Starfighter,null,Sienar Fleet Systems,tie/ln_starfighter.jpg
8,3 years,Death Star,1000000000000,843,null,343,120000,DS-1 Orbital Battle Station,1000000000000,"Imperial Department of Military Research, Sienar Fleet Systems",death_star.jpg
9,2 months,Millennium Falcon,100000,6,1050,4,34.37,YT-1300 light freighter,100000,Corellian Engineering Corporation,millennium_falcon.jpg
10,1 week,Y-wing,110,0,1000,2,14,BTL Y-wing,134999,Koensayr Manufacturing,y-wing.jpg
11,1 week,X-wing,110,0,1050,1,43439,T-65 X-wing,149999,Incom Corporation,x-wing.jpg
12,5 days,TIE Advanced x1,150,0,1200,1,43345,Twin Ion Engine Advanced x1,null,Sienar Fleet Systems,tie_advanced_x1.jpg
13,null,Snowspeeder,10,0,650,2,43195,t-47 airspeeder,null,Incom corporation,snowspeeder.jpg
14,6 years,Executor,250000000,38,null,279,19,Executor-class star dreadnought,1143350000,"Kuat Drive Yards, Fondor Shipyards",executor.jpg
15,2 days,TIE bomber,null,0,850,1,43289,TIE/sa bomber,null,Sienar Fleet Systems,tie_bomber.jpg
16,6 months,Rebel transport,19000000,90,650,6,90,GR-75 medium transport,null,"Gallofree Yards, Inc.",rebel_transport.jpg
17,null,AT-AT,1000,40,60,5,20,All Terrain Armored Transport,null,"Kuat Drive Yards, Imperial Department of Military Research",at-at.jpg
18,null,AT-ST,200,0,90,2,2,All Terrain Scout Transport,null,"Kuat Drive Yards, Imperial Department of Military Research",at-st.jpg
19,1 day,Storm IV Twin-Pod cloud car,10,0,1500,2,7,Storm IV Twin-Pod,75000,Bespin Motors,storm_iv_twin-pod_cloud_car.jpg
20,1 month,Slave 1,70000,6,1000,1,43241,Firespray-31-class patrol and attack,null,Kuat Systems Engineering,slave_1.jpg
21,2 months,Imperial shuttle,80000,20,850,6,20,Lambda-class T-4a shuttle,240000,Sienar Fleet Systems,imperial_shuttle.jpg
